lat,lng,category,title,timeStamp,zip,twp
40.1538420,-75.2050542,EMS,EMS: ASSAULT VICTIM,2018-04-29 14:41:55,19002,UPPER DUBLIN
40.1162623,-75.1247766,Fire,Fire: GAS-ODOR/LEAK,2018-06-28 10:39:33,19001,ABINGTON
40.2228820,-75.3987889,EMS,EMS: CARDIAC EMERGENCY,2018-01-20 22:09:30,,SKIPPACK
40.0729171,-75.2990696,EMS,EMS: RESPIRATORY EMERGENCY,2017-08-04 19:53:52,19428,CONSHOHOCKEN
40.1489852,-75.0334990,EMS,EMS: VEHICLE ACCIDENT,2015-12-23 22:59:01,,LOWER MORELAND
40.0837614,-75.1422046,EMS,EMS: RESPIRATORY EMERGENCY,2016-10-18 12:02:47,19095,CHELTENHAM
40.2511412,-75.6382012,EMS,EMS: BACK PAINS/INJURY,2020-02-26 14:59:45,19464,POTTSTOWN
40.1007482,-75.2151078,EMS,EMS: CARDIAC EMERGENCY,2016-02-09 10:02:49,19031,SPRINGFIELD
40.1518132,-75.0557591,EMS,EMS: FRACTURE,2018-05-01 10:56:26,19006,LOWER MORELAND
40.0249667,-75.2829046,Traffic,Traffic: DISABLED VEHICLE -,2018-08-09 16:02:33,,LOWER MERION
40.2802863,-75.3957167,EMS,EMS: UNKNOWN MEDICAL EMERGENCY,2019-11-06 13:53:16,19438,LOWER SALFORD
40.0932842,-75.2931085,EMS,EMS: RESPIRATORY EMERGENCY,2018-06-21 18:09:17,19428,PLYMOUTH
40.1074003,-75.1132060,EMS,EMS: HEAD INJURY,2017-10-25 10:29:31,19046,ABINGTON
40.0987944,-75.4302839,EMS,EMS: HEAD INJURY,2016-09-04 18:06:10,,UPPER MERION
-3.924542287757866,-41.05669964140117,Traffic,Traffic: ROAD CLOSURE,2015-12-10 17:00:00,00000,Global Sector
41.166244027687725,43.44056316656304,EMS,EMS: MEDICAL EMERGENCY,2015-12-10 17:00:00,00000,Global Sector
-10.206087052065627,150.52263145773742,Fire,Fire: BUILDING FIRE,2015-12-10 17:00:00,00000,Global Sector
-27.61017525392765,135.14609301949775,Fire,Fire: GAS LEAK,2015-12-10 17:00:00,00000,Global Sector
-5.479341786096207,-39.14107612834721,EMS,EMS: INJURY,2015-12-10 17:00:00,00000,Global Sector
-16.19744862157424,28.541260383199017,Fire,Fire: GAS LEAK,2015-12-10 17:00:00,00000,Global Sector
-4.906423478483063,137.51316675663304,EMS,EMS: MEDICAL EMERGENCY,2015-12-10 17:00:00,00000,Global Sector
27.02097575201725,107.1766044102207,Traffic,Traffic: VEHICLE ACCIDENT,2015-12-10 17:00:00,00000,Global Sector
45.265872385138536,38.01281513351955,EMS,EMS: CARDIAC ARREST,2015-12-10 17:00:00,00000,Global Sector
66.29315970907923,52.76252412312826,EMS,EMS: CARDIAC ARREST,2015-12-10 17:00:00,00000,Global Sector
44.6880209500909,17.22606262905009,EMS,EMS: CARDIAC ARREST,2015-12-10 17:00:00,00000,Global Sector
-30.647887906752313,143.7857916882873,Traffic,Traffic: VEHICLE ACCIDENT,2015-12-10 17:00:00,00000,Global Sector
-34.470677194118636,146.35258286017478,EMS,EMS: CARDIAC ARREST,2015-12-10 17:00:00,00000,Global Sector
29.831903844699326,87.20104796245721,Traffic,Traffic: ROAD CLOSURE,2015-12-10 17:00:00,00000,Global Sector
61.335105600902025,-119.60848873574275,Fire,Fire: GAS LEAK,2015-12-10 17:00:00,00000,Global Sector
25.27137728105508,34.276347803429786,Traffic,Traffic: DISABLED VEHICLE,2015-12-10 17:00:00,00000,Global Sector
58.43866855424396,108.04461240910535,Traffic,Traffic: VEHICLE ACCIDENT,2015-12-10 17:00:00,00000,Global Sector
34.512351318086246,133.51251125797552,EMS,EMS: INJURY,2015-12-10 17:00:00,00000,Global Sector
-25.99781888964906,120.20046005488712,Traffic,Traffic: ROAD CLOSURE,2015-12-10 17:00:00,00000,Global Sector
23.66762656508982,39.635744106538084,Fire,Fire: GAS LEAK,2015-12-10 17:00:00,00000,Global Sector
62.39949440950976,119.61014303998309,Fire,Fire: BUILDING FIRE,2015-12-10 17:00:00,00000,Global Sector
68.98494659340074,91.32446493556466,EMS,EMS: MEDICAL EMERGENCY,2015-12-10 17:00:00,00000,Global Sector
-36.447958638321744,149.8530806837174,Fire,Fire: GAS LEAK,2015-12-10 17:00:00,00000,Global Sector
44.70919515705211,61.44945673852024,EMS,EMS: MEDICAL EMERGENCY,2015-12-10 17:00:00,00000,Global Sector
16.51863915742706,9.902124222594466,EMS,EMS: CARDIAC ARREST,2015-12-10 17:00:00,00000,Global Sector
36.20329957016699,119.13170928535772,Fire,Fire: BUILDING FIRE,2015-12-10 17:00:00,00000,Global Sector
67.65896252010127,-132.5524482680655,Traffic,Traffic: VEHICLE ACCIDENT,2015-12-10 17:00:00,00000,Global Sector
46.49648272445697,-60.86530982806778,Fire,Fire: BUILDING FIRE,2015-12-10 17:00:00,00000,Global Sector
69.33408377290604,20.08106191618657,EMS,EMS: INJURY,2015-12-10 17:00:00,00000,Global Sector
-30.458917573430778,-70.56042975712683,Fire,Fire: GAS LEAK,2015-12-10 17:00:00,00000,Global Sector
2.278605030281625,-77.99545999705886,Traffic,Traffic: ROAD CLOSURE,2015-12-10 17:00:00,00000,Global Sector
-5.000569422562258,-45.80653734861889,EMS,EMS: INJURY,2015-12-10 17:00:00,00000,Global Sector
44.70522034110866,70.10898355173438,Traffic,Traffic: ROAD CLOSURE,2015-12-10 17:00:00,00000,Global Sector
